comune,commissario,istat_nome,istat_codice
ARAGONA,ABBINANTI ENZO,Aragona,084003
BURGIO,ABBINANTI ENZO,Burgio,084005
CALAMONACI,ABBINANTI ENZO,Calamonaci,084006
CAMMARATA,ABBINANTI ENZO,Cammarata,084009
CASTELTERMINI,ABBINANTI ENZO,Casteltermini,084012
COMITINI,ABBINANTI ENZO,Comitini,084016
FAVARA,ABBINANTI ENZO,Favara,084017
GROTTE,ABBINANTI ENZO,Grotte,084018
LICATA,ABBINANTI ENZO,Licata,084021
LUCCA SICULA,ABBINANTI ENZO,Lucca Sicula,084022
MENFI,ABBINANTI ENZO,Menfi,084023
MONTALLEGRO,ABBINANTI ENZO,Montallegro,084024
NARO,ABBINANTI ENZO,Naro,084026
PALMA DI MONTECHIARO,ABBINANTI ENZO,Palma di Montechiaro,084027
RAVANUSA,ABBINANTI ENZO,Ravanusa,084031
SAN GIOVANNI GEMINI,ABBINANTI ENZO,San Giovanni Gemini,084036
SANTA MARGHERITA BELICE,RAITANO VINCENZO,Santa Margherita di Belice,084038
SCIACCA,RAITANO VINCENZO,Sciacca,084041
VILLAFRANCA SICULA,RAITANO VINCENZO,Villafranca Sicula,084043
BUTERA,RAITANO VINCENZO,Butera,085003
GELA,COCCO GIOVANNI (1962),Gela,085007
MILENA,RAITANO VINCENZO,Milena,085010
NISCEMI,RAITANO VINCENZO,Niscemi,085013
RIESI,RAITANO VINCENZO,Riesi,085015
ACI CASTELLO,D'AMATO FILIPPA,Aci Castello,087002
ACIREALE,D'AMATO FILIPPA,Acireale,087004
ADRANO,D'AMATO FILIPPA,Adrano,087006
BELPASSO,D'AMATO FILIPPA,Belpasso,087007
CASTEL DI JUDICA,D'AMATO FILIPPA,Castel di Iudica,087013
CATANIA,PETRALIA GIUSEPPE,Catania,087015
GIARRE,PETRALIA GIUSEPPE,Giarre,087017
GRAMMICHELE,ABBINANTI ENZO,Grammichele,087018
LICODIA EUBEA,PETRALIA GIUSEPPE,Licodia Eubea,087020
MALETTO,PETRALIA GIUSEPPE,Maletto,087022
MANIACE,PETRALIA GIUSEPPE,Maniace,087057
MASCALI,RAITANO VINCENZO,Mascali,087023
MILITELLO VAL DI CATANIA,PETRALIA GIUSEPPE,Militello in Val di Catania,087025
MILO,PETRALIA GIUSEPPE,Milo,087026
MINEO,PETRALIA GIUSEPPE,Mineo,087027
MIRABELLA IMBACCARI,PETRALIA GIUSEPPE,Mirabella Imbaccari,087028
MOTTA SANT'ANASTASIA,D'AMATO FILIPPA,Motta Sant'Anastasia,087030
PATERNO',PETRALIA GIUSEPPE,Paternò,087033
RAGALNA,PETRALIA GIUSEPPE,Ragalna,087058
RANDAZZO,PETRALIA GIUSEPPE,Randazzo,087038
SAN CONO,PETRALIA GIUSEPPE,San Cono,087040
SAN GREGORIO DI CATANIA,PETRALIA GIUSEPPE,San Gregorio di Catania,087042
SAN MICHELE DI GANZARIA,PETRALIA GIUSEPPE,San Michele di Ganzaria,087043
TREMESTIERI ETNEO,PETRALIA GIUSEPPE,Tremestieri Etneo,087051
VIAGRANDE,PETRALIA GIUSEPPE,Viagrande,087053
VIZZINI,SCAFIDI GIOVANNI,Vizzini,087054
ZAFFERANA ETNEA,SCAFIDI GIOVANNI,Zafferana Etnea,087055
AGIRA,LEONELLI DANIELA,Agira,086001
ASSORO,LEONELLI DANIELA,Assoro,086003
CENTURIPE,LEONELLI DANIELA,Centuripe,086007
GAGLIANO CASTELFERRATO,LEONELLI DANIELA,Gagliano Castelferrato,086010
NICOSIA,LEONELLI DANIELA,Nicosia,086012
NISSORIA,LEONELLI DANIELA,Nissoria,086013
PIETRAPERZIA,LEONELLI DANIELA,Pietraperzia,086015
SPERLINGA,LEONELLI DANIELA,Sperlinga,086017
TROINA,LEONELLI DANIELA,Troina,086018
ALCARA LI FUSI,D'AMATO FILIPPA,Alcara li Fusi,083001
ALI',COCCO GIOVANNI (1962),Alì,083002
ANTILLO,D'AMATO FILIPPA,Antillo,083004
BROLO,COCCO GIOVANNI (1962),Brolo,083007
CAPIZZI,COCCO GIOVANNI (1962),Capizzi,083008
CAPO D'ORLANDO,D'AMATO FILIPPA,Capo d'Orlando,083009
CAPRI LEONE,COCCO GIOVANNI (1962),Capri Leone,083010
CASALVECCHIO SICULO,COCCO GIOVANNI (1962),Casalvecchio Siculo,083012
CASTELMOLA,D'AMATO FILIPPA,Castelmola,083015
CESARO',COCCO GIOVANNI (1962),Cesarò,083017
CONDRO',D'AMATO FILIPPA,Condrò,083018
FALCONE,REITANO VINCENZO,Falcone,083019
FICARRA,D'AMATO FILIPPA,Ficarra,083020
FONDACHELLI FANTINA,COCCO GIOVANNI (1962),Fondachelli-Fantina,083023
FORZA D'AGRO',ABBINANTI ENZO,Forza d'Agrò,083024
FURCI SICULO,COCCO GIOVANNI (1962),Furci Siculo,083027
FURNARI,MASTROLEMBO V. DOMENICO,Furnari,083028
GAGGI,MASTROLEMBO V. DOMENICO,Gaggi,083029
GALLODORO,MASTROLEMBO V. DOMENICO,Gallodoro,083031
GIOIOSA MAREA,MASTROLEMBO V. DOMENICO,Gioiosa Marea,083033
GRANITI,MASTROLEMBO V. DOMENICO,Graniti,083034
GUALTIERI SICAMINO',MASTROLEMBO V. DOMENICO,Gualtieri Sicaminò,083035
ITALA,MASTROLEMBO V. DOMENICO,Itala,083036
LENI,MASTROLEMBO V. DOMENICO,Leni,083037
LETOJANNI,MASTROLEMBO V. DOMENICO,Letojanni,083038
LIPARI,MASTROLEMBO V. DOMENICO,Lipari,083041
MALVAGNA,MASTROLEMBO V. DOMENICO,Malvagna,083044
MANDANICI,MASTROLEMBO V. DOMENICO,Mandanici,083045
MONFORTE SAN GIORGIO,RIELA FRANCESCO,Monforte San Giorgio,083054
MONGIUFFI MELIA,RIELA FRANCESCO,Mongiuffi Melia,083055
MONTALBANO ELICONA,RIELA FRANCESCO,Montalbano Elicona,083057
MOTTA CAMASTRA,RIELA FRANCESCO,Motta Camastra,083058
NASO,RIELA FRANCESCO,Naso,083060
NIZZA DI SICILIA,RIELA FRANCESCO,Nizza di Sicilia,083061
NOVARA DI SICILIA,RIELA FRANCESCO,Novara di Sicilia,083062
PATTI,SCAFIDI GIOVANNI,Patti,083066
PETTINEO,SCAFIDI GIOVANNI,Pettineo,083067
PIRAINO,SCAFIDI GIOVANNI,Piraino,083068
REITANO,SCAFIDI GIOVANNI,Reitano,083070
ROCCAFIORITA,SCAFIDI GIOVANNI,Roccafiorita,083071
ROCCALUMERA,RIELA FRANCESCO,Roccalumera,083072
RODI' MILICI,COCCO GIOVANNI (1965),Rodì Milici,083075
SAN FRATELLO,SCAFIDI GIOVANNI,San Fratello,083078
SAN TEODORO,SCAFIDI GIOVANNI,San Teodoro,083090
SANTA MARINA SALINA,SCAFIDI GIOVANNI,Santa Marina Salina,083087
SANT'AGATA DI MILITELLO,SCAFIDI GIOVANNI,Sant'Agata di Militello,083084
SANT'ALESSIO SICULO,COCCO GIOVANNI (1965),Sant'Alessio Siculo,083085
SANT'ANGELO DI BROLO,COCCO GIOVANNI (1965),Sant'Angelo di Brolo,083088
SANTO STEFANO DI CAMASTRA,COCCO GIOVANNI (1965),Santo Stefano di Camastra,083091
SAVOCA,COCCO GIOVANNI (1965),Savoca,083093
SCALETTA ZANCLEA,COCCO GIOVANNI (1965),Scaletta Zanclea,083094
TAORMINA,COCCO GIOVANNI (1965),Taormina,083097
TERME VIGLIATORE,COCCO GIOVANNI (1965),Terme Vigliatore,083106
TORREGROTTA,COCCO GIOVANNI (1965),Torregrotta,083098
TORRENOVA,COCCO GIOVANNI (1965),Torrenova,083108
VALDINA,COCCO GIOVANNI (1965),Valdina,083103
VENETICO,COCCO GIOVANNI (1965),Venetico,083104
VILLAFRANCA TIRRENA,COCCO GIOVANNI (1965),Villafranca Tirrena,083105
CACCAMO,RIELA FRANCESCO,Caccamo,082014
CALTAVUTURO,SAJEVA ANGELO,Caltavuturo,082015
CAMPOFELICE DI FITALIA,SAJEVA ANGELO,Campofelice di Fitalia,082016
CAMPOREALE,SAJEVA ANGELO,Camporeale,082019
CASTELDACCIA,SAJEVA ANGELO,Casteldaccia,082023
CEFALU',SAJEVA ANGELO,Cefalù,082027
CONTESSA ENTELLINA,PANZECA ANTONELLA,Contessa Entellina,082033
GIULIANA,PANZECA ANTONELLA,Giuliana,082039
ROCCAPALUMBA,PANZECA ANTONELLA,Roccapalumba,082062
SAN MAURO CASTELVERDE,PANZECA ANTONELLA,San Mauro Castelverde,082065
SANTA CRISTINA GELA,PANZECA ANTONELLA,Santa Cristina Gela,082066
SANTA FLAVIA,PANZECA ANTONELLA,Santa Flavia,082067
TERRASINI,PANZECA ANTONELLA,Terrasini,082071
TORRETTA,PANZECA ANTONELLA,Torretta,082072
VICARI,PANZECA ANTONELLA,Vicari,082078
AUGUSTA,SAJEVA ANGELO,Augusta,089001
CARLENTINI,SAJEVA ANGELO,Carlentini,089006
FLORIDIA,PANZECA ANTONELLA,Floridia,089009
FRANCOFONTE,SAJEVA ANGELO,Francofonte,089010
ROSOLINI,SAJEVA ANGELO,Rosolini,089016
SIRACUSA,SAJEVA ANGELO,Siracusa,089017
PARTANNA,TERRANOVA GIUSEPPE,Partanna,081015
SAN VITO LO CAPO,TERRANOVA GIUSEPPE,San Vito Lo Capo,081020
TRAPANI,TERRANOVA GIUSEPPE,Trapani,081021
VALDERICE,TERRANOVA GIUSEPPE,Valderice,081022
VITA,TERRANOVA GIUSEPPE,Vita,081023
BARCELLONA P.G.,D'AMATO FILIPPA,Barcellona Pozzo di Gotto,083005
FRANCAVILLA,COCCO GIOVANNI (1962),Francavilla di Sicilia,083025
CASTRONOVO,SAJEVA ANGELO,Castronovo di Sicilia,082025
